Approach,Accuracy,Human_Recall,AI_Recall,Human_Precision,AI_Precision,Human_F1,AI_F1,FPR,FNR,AUC
Unweighted (Current),0.9713876967095851,0.9779559118236473,0.955,0.9818913480885312,0.9455445544554455,0.9799196787148594,0.9502487562189055,2.2044088176352705,4.5,0.9948496993987975
Weighted (Proper),0.9685264663805436,0.969939879759519,0.965,0.9857433808553971,0.9278846153846154,0.9777777777777777,0.946078431372549,3.006012024048096,3.5000000000000004,0.9948597194388779
Balanced (Undersamp),0.9556509298998569,0.9519038076152304,0.965,0.9854771784232366,0.8894009216589862,0.9683995922528033,0.9256594724220624,4.809619238476954,3.5000000000000004,0.9932865731462925
