Fold,Train_Size,Val_Size,Train_Human_%,Train_AI_%,Val_Human_%,Val_AI_%,Accuracy,Precision_Human,Recall_Human,F1_Human,Precision_AI,Recall_AI,F1_AI,AUC
1,2792,699,71.38252148997135,28.617478510028654,71.38769670958513,28.612303290414882,0.9599427753934192,0.9590643274853801,0.9859719438877755,0.9723320158102767,0.9623655913978495,0.895,0.927461139896373,0.9928957915831663
2,2793,698,71.35696383816685,28.64303616183315,71.48997134670488,28.510028653295127,0.9641833810888252,0.9759036144578314,0.9739478957915831,0.9749247743229689,0.935,0.9396984924623115,0.9373433583959899,0.9947130441788099
3,2793,698,71.39276763336913,28.607232366630864,71.34670487106017,28.653295128939828,0.9684813753581661,0.983739837398374,0.9718875502008032,0.9777777777777777,0.9320388349514563,0.96,0.9458128078817734,0.9937148594377511
4,2793,698,71.39276763336913,28.607232366630864,71.34670487106017,28.653295128939828,0.9713467048710601,0.9742063492063492,0.9859437751004017,0.9800399201596807,0.9639175257731959,0.935,0.949238578680203,0.99714859437751
5,2793,698,71.39276763336913,28.607232366630864,71.34670487106017,28.653295128939828,0.9756446991404012,0.9839034205231388,0.9819277108433735,0.9829145728643216,0.9552238805970149,0.96,0.9576059850374065,0.9948895582329317
