Seed,Accuracy,Human_Precision,Human_Recall,Human_F1,AI_Precision,AI_Recall,AI_F1,AUC
42,0.9713876967095851,0.9818913480885312,0.9779559118236473,0.9799196787148594,0.9455445544554455,0.955,0.9502487562189055,0.9948496993987975
43,0.9699570815450643,0.9799196787148594,0.9779559118236473,0.9789368104312939,0.945273631840796,0.95,0.9476309226932669,0.99624248496994
44,0.9585121602288984,0.9718875502008032,0.969939879759519,0.970912738214644,0.9253731343283582,0.93,0.9276807980049875,0.9934068136272547
45,0.9642346208869814,0.9647058823529412,0.9859719438877755,0.9752229930624381,0.9629629629629629,0.91,0.9357326478149101,0.9958517034068136
46,0.9542203147353362,0.9623762376237623,0.9739478957915831,0.9681274900398407,0.9329896907216495,0.905,0.9187817258883249,0.9915030060120241
47,0.9585121602288984,0.9607843137254902,0.9819639278557114,0.9712586719524281,0.9523809523809523,0.9,0.9254498714652957,0.9949899799599198
48,0.9685264663805436,0.9760479041916168,0.9799599198396793,0.978,0.9494949494949495,0.94,0.9447236180904522,0.9963827655310622
49,0.9642346208869814,0.9665354330708661,0.9839679358717435,0.9751737835153923,0.9581151832460733,0.915,0.9360613810741688,0.9936072144288578
50,0.9713876967095851,0.9742574257425742,0.9859719438877755,0.9800796812749004,0.9639175257731959,0.935,0.949238578680203,0.9961723446893788
51,0.9713876967095851,0.9780439121756487,0.9819639278557114,0.98,0.9545454545454546,0.945,0.949748743718593,0.9938877755511022
