Fold,Train_Size,Val_Size,Train_Human_%,Train_AI_%,Val_Human_%,Val_AI_%,Accuracy,Precision_Human,Recall_Human,F1_Human,Precision_AI,Recall_AI,F1_AI,AUC
1,2792,698,71.38252148997135,28.617478510028654,71.48997134670488,28.510028653295127,0.9641833810888252,0.9702380952380952,0.9799599198396793,0.9750747756729811,0.9484536082474226,0.9246231155778895,0.9363867684478372,0.9952064933887876
2,2792,698,71.38252148997135,28.617478510028654,71.48997134670488,28.510028653295127,0.9785100286532952,0.9879032258064516,0.9819639278557114,0.9849246231155779,0.9554455445544554,0.9698492462311558,0.9625935162094763,0.9968882488595281
3,2792,698,71.41833810888252,28.581661891117477,71.34670487106017,28.653295128939828,0.9670487106017192,0.9778672032193159,0.9759036144578314,0.9768844221105528,0.9402985074626866,0.945,0.942643391521197,0.9953212851405622
4,2792,698,71.41833810888252,28.581661891117477,71.34670487106017,28.653295128939828,0.9656160458452722,0.9683794466403162,0.9839357429718876,0.9760956175298805,0.9583333333333334,0.92,0.9387755102040817,0.9954518072289156
5,2792,698,71.41833810888252,28.581661891117477,71.34670487106017,28.653295128939828,0.9684813753581661,0.9798387096774194,0.9759036144578314,0.9778672032193159,0.9405940594059405,0.95,0.945273631840796,0.9957429718875501
