Approach,Accuracy,Human_Recall,AI_Recall,Human_Precision,AI_Precision,Human_F1,AI_F1,FPR,FNR,AUC
Unweighted (Current),0.9727793696275072,0.9819277108433735,0.95,0.9799599198396793,0.9547738693467337,0.9809428284854563,0.9523809523809523,1.8072289156626504,5.0,0.995722891566265
Weighted (Proper),0.9684813753581661,0.9718875502008032,0.96,0.983739837398374,0.9320388349514563,0.9777777777777777,0.9458128078817734,2.8112449799196786,4.0,0.9949397590361446
Balanced (Undersamp),0.9598853868194842,0.9558232931726908,0.97,0.9875518672199171,0.8981481481481481,0.9714285714285714,0.9326923076923077,4.417670682730924,3.0,0.9944477911646585
